pot.label,census,rep,native.species,brome.treatment,water.treatment,5.wk.percent.cover,10.wk.percent.cover,leaf.count,invasive.plant.height ,native.plant.height ,final.native.aboveground.biomass,final.brome.aboveground.biomass,soil.moisture
1,3,1,Plantago insularis,10,80,35,60,0,30,13,0.1952,0.2518,10
2,3,2,Plantago insularis,10,80,60,85,0,27.2,10.5,0.1913,0.3329,14.2
3,3,3,Plantago insularis,10,80,30,50,0,29.5,12.5,0.2955,0.3542,14.3
4,3,4,Plantago insularis,10,80,40,60,0,26.5,10.3,0.3008,0.2413,15.4
5,3,5,Plantago insularis,10,80,50,40,0,28.2,10.5,0.352,0.345,9.9
6,3,6,Plantago insularis,10,80,45,65,0,28,15,0.2314,0.4493,12.5
7,3,7,Plantago insularis,10,80,30,45,0,25.4,15.5,0.277,0.122,12.3
8,3,8,Plantago insularis,10,80,35,55,0,26.5,13.9,0.1581,0.2487,13
9,3,9,Plantago insularis,10,80,50,50,0,24.5,12,0.1697,0.3677,10.3
10,3,10,Plantago insularis,10,80,10,25,0,30.7,15.4,0.1601,0.0645,13
11,3,1,Plantago insularis,10,150,50,50,0,26.5,14.5,0.2041,0.3118,13.5
12,3,2,Plantago insularis,10,150,35,40,0,26.3,11.5,0.3001,0.2087,10.8
13,3,3,Plantago insularis,10,150,45,50,0,22,13.3,0.3471,0.1796,13.3
14,3,4,Plantago insularis,10,150,60,55,0,23.5,9.9,0.249,0.2783,14.2
15,3,5,Plantago insularis,10,150,80,70,0,22.6,13.7,0.3401,0.3932,14.2
16,3,6,Plantago insularis,10,150,60,75,0,30.2,15.7,0.6422,0.6158,18.4
17,3,7,Plantago insularis,10,150,55,70,0,32.6,16.3,0.1916,0.424,15.6
18,3,8,Plantago insularis,10,150,50,80,0,28.6,15.7,0.547,0.7105,15.1
19,3,9,Plantago insularis,10,150,50,60,0,30.4,18,0.3866,0.2481,10
20,3,10,Plantago insularis,10,150,70,80,0,28,12.6,0.3907,0.2842,8.8
